runnumber,fraction_fit,localepochs,localbatchsize,clients,rounds,r2,traintime,distribution
330,1.0,15,16,25,15,0.9703156418199701,115.32975196838379,1
331,0.2,15,16,25,20,0.9704728187797064,50.170522928237915,0
332,0.5,15,16,25,20,0.9715167459296383,82.195072889328,0
333,1.0,15,16,25,20,0.9730429319634454,147.67366099357605,0
334,0.2,15,16,25,20,0.972628234127437,66.81175899505615,1
335,0.5,15,16,25,20,0.9740310420744617,90.14480686187744,1
336,1.0,15,16,25,20,0.9735691769301458,148.2359139919281,1
337,0.2,15,16,30,5,0.9037774453812535,19.542171001434326,0
338,0.5,15,16,30,5,0.9260680472633677,28.157618761062622,0
339,1.0,15,16,30,5,0.9259852991730552,41.304088830947876,0
340,0.2,15,16,30,5,0.9318519523869166,23.95295000076294,1
341,0.5,15,16,30,5,0.9303837161957709,29.072860956192017,1
342,1.0,15,16,30,5,0.9309643873039987,43.36199617385864,1
343,0.2,15,16,30,10,0.9344719410687921,29.55545711517334,0
344,0.5,15,16,30,10,0.9436431405228537,49.43066596984863,0
345,1.0,15,16,30,10,0.9399836557220099,79.0826723575592,0
346,0.2,15,16,30,10,0.9587423036559207,37.57890295982361,1
347,0.5,15,16,30,10,0.9616895679298263,49.73248481750488,1
348,1.0,15,16,30,10,0.9614598401217141,80.79829001426697,1
349,0.2,15,16,30,15,0.9646155110495773,38.81964993476868,0
350,0.5,15,16,30,15,0.9650534870648502,70.2121729850769,0
351,1.0,15,16,30,15,0.9606344370882614,114.3398060798645,0
352,0.2,15,16,30,15,0.965548749088953,50.89235520362854,1
353,0.5,15,16,30,15,0.9670595782129615,68.99579691886902,1
354,1.0,15,16,30,15,0.9685386846159275,120.71614217758179,1
355,0.2,15,16,30,20,0.9644939529995078,48.49379873275757,0
356,0.5,15,16,30,20,0.9695208617679671,92.97208428382874,0
357,1.0,15,16,30,20,0.9707512310988136,151.7024610042572,0
358,0.2,15,16,30,20,0.9688992914602363,61.59023594856262,1
359,0.5,15,16,30,20,0.9720763669980216,84.91063594818115,1
360,1.0,15,16,30,20,0.9724361007388749,165.22403573989868,1
361,0.2,15,32,5,5,0.9650641971834403,22.765625,0
362,0.5,15,32,5,5,0.962926423085045,24.845226049423218,0
363,1.0,15,32,5,5,0.9645836413871054,27.408132791519165,0
364,0.2,15,32,5,5,0.9617323640871805,37.742602825164795,1
